title,name,date
[필독]입점업체/회원의 카르텔 행위에 대한 브랜디드 카페의 입장 및 관련법령,더누메로,2020.08.26.
[공지][공지] 스탭 증원 및 단톡방 뒷담화 이야기,새로고침,2020.08.21.
[공지]업체규정 추가내용 (유튜브 브랜디드 TV 컨텐츠 제작),행사용흑염소,2020.08.07.
[공지][브랜디드] 규정신설 내용입니다.,행사용흑염소,2020.08.04.
[공지][착용사진 게시판] 회원분들 착용사진을 쓸때마다 1티어 치킨기프티콘 하나씩 드립니다.,행사용흑염소,2020.07.29.
[공지][착용사진 게시판] 에 올라온 착샷들을 브랜디드 인스타나 홍보용도로 쓰는건에 대해 회원분들 의견이 궁금합니다.,행사용흑염소,2020.07.29.
"[공지]회원 규정, 체험단 규정 신설내용 입니다.",행사용흑염소,2020.07.27.
[공지]브랜디드 회원 여러분께 공지드립니다.,죠스타,2020.07.22.
[공지] 브랜디드 중고장터 임시 개방,새로고침,2020.07.21.
[공지]도 넘는 친목행위 지양 부탁드립니다.,행사용흑염소,2020.07.15.
[공지]후기작성양식 개정되었으니 참고바랍니다.,더누메로,2020.07.02.
[공지] 중고장터 내 JMR(재미로) 매물 거래 불가 안내,새로고침,2020.06.27.
[공지]회원규정 일부수정 (2020.06.18),행사용흑염소,2020.06.18.
[공지] 후방짤 금지 안내,새로고침,2020.06.11.
[공지]업체규정 일부수정 (20.06.09),행사용흑염소,2020.06.09.
[공모전] 제1회 브랜디드 티셔츠 일러 공모전,새로고침,2020.06.03.
[공지]카페 규정 하나 추가하였습니다.,행사용흑염소,2020.05.28.
[공지] 입점업체들에게 촬영용 청바지를 무상대여해드립니다.,새로고침,2020.05.26.
[공지]업체규정 추가하였습니다.,행사용흑염소,2020.05.19.
[공지]불편한점이 있으시거나 건의사항은 스탭들에게 말씀해주시면 됩니다.,행사용흑염소,2020.05.18.
[공지] 브랜디드카페 운영 사업자등록 공시 안내,새로고침,2020.05.13.
[공지][공지] 무신사 조거 1등 관련한 글귀에 대하여 정정 게시글을 올립니다.,새로고침,2020.04.29.
[공지]체험단 규정 (2020.07.27),행사용흑염소,2020.04.16.
[필독]통합규정 (2021.06.27),행사용흑염소,2020.04.01.
[공지]업체규정 (2020.08.07),행사용흑염소,2020.04.01.
[공지]회원규정 (2020.07.27),행사용흑염소,2020.04.01.
[공지][공지] 브랜드 이벤트/서포터즈 모집 안내 (2020.03.16),새로고침,2020.03.16.
[공지][공지] 카페 내 업체 CS 글 삭제 후 경고처리 안내,새로고침,2020.03.03.
[공지][공지] 정치글 작성 제한 안내 (코로나글에 물타기 X),새로고침,2020.02.25.
[공지][공지] 업체 담합으로 인하여 야기되는 걱정에 대해,새로고침,2020.02.03.
[공지][공지] SNS 계정 공유글 임의삭제 안내,새로고침,2019.12.09.
[공지][공지] 브랜디드 중고장터 12월 15일까지만 가입신청 받습니다.,새로고침,2019.12.08.
[공지][공지] 유투브 리뷰영상 안내 (2019.12.03),새로고침,2019.12.03.
[필독] 회원 규정 안내(2020.03.18),새로고침,2019.11.25.
[필독] 브랜드/업체 규정 안내 (2020.3.30),새로고침,2019.11.25.
"[공지] 서포터즈, 협찬 제품 필히 표기 바랍니다.",게시판요정,2019.11.19.
[공지] 새로운 공인누렁소 발표,새로고침,2019.11.14.
[공지] 오픈채팅방 관련 글 작성 시 제재 처리 안내,새로고침,2019.11.11.
[공지] 유니클로 스팸처리 안내 (~2019. 12. 31까지),새로고침,2019.10.18.
[공지] 티스토리 블로그 링크 하지마세요,새로고침,2019.09.30.
[공지] 카페 연령제한 19세부터로 지정되었습니다.,새로고침,2019.09.10.
[필독] 여자사진 게시글에는 언어순화하셔서 글 써주세요,새로고침,2019.08.19.
[공지] 규정 신설 조항 안내,새로고침,2019.01.28.
"[공지] 정치이야기, -노 말투 쓰지마세요",새로고침,2018.11.29.
